Improving access to psychological therapies (IAPT)
Read V2 Code | Description
932591000000103 | Improving Access to Psychological Therapies programme Work and Social Adjustment Scale - private leisure activities score (observable entity) 
747891000000106 | Improving Access to Psychological Therapies assessment Patient Experience Questionnaire satisfaction question 1 score (observable entity) 
747881000000109 | Improving Access to Psychological Therapies assessment Patient Experience Questionnaire choice question 3 score (observable entity)
904691000000103 | Improving Access to Psychological Therapies assessment Patient Experience Questionnaire choice question 4 score (observable entity) 
747871000000107 | Improving Access to Psychological Therapies assessment Patient Experience Questionnaire choice question 2 score (observable entity) 
932581000000100 | Improving Access to Psychological Therapies programme Work and Social Adjustment Scale - home management score (observable entity) 
747941000000105 | Improving Access to Psychological Therapies treatment Patient Experience Questionnaire question 5 score (observable entity) 
747851000000103 | Assessment using Improving Access to Psychological Therapies treatment Patient Experience Questionnaire (procedure) 
747951000000108 | Improving Access to Psychological Therapies treatment Patient Experience Questionnaire question 6 score (observable entity)

Psychiatry Review
Read V2 Code | Description
3822. | Diagnostic psych interview
6653. | Initial psych assessment 
6654. | Follow-up psych assessment
384.. | Psychoanalysis
665G. | Injectable neuroleptic managed by CMHT
69F2. | Section exam - approved doctor
7P22. | Rehabilitation for psychiatric disorders
7P220 | Deliverty of rehab for drug addiction
7P221 | Delivery of rehab for alcohol addiction
7P22y | Other specific rehab psychiatric disorder
7P22z | Rehab for psychiatric disorder NOS
8A2.. | Psychiatric monitoring
8A21. | Psychiatric observation
8A2Z. | Psychiatric monitoring NOS
8CM2. | Psychiatry care plan
8H23. | Admit psychiatric emergency
8H230 | Emergency psychiatric admission MHA
8H2L. | Admit psychogeriatric emergency
8H34. | Psychiatric day care
8H38. | Non-urgent psychiatric admission
8H3Q. | Non-urgent psychogeriatric admission
8H49. | Psychiatric referral
8H4D. | Referral to psychiatrist for the elderly mentally ill
8H4f. | Referral to learning disabilities psychiatrist
8H4P. | Referral to child psychiatrist
8H7B. | Refer to CPN
8Hc. | Referral to mental health team
8Hc1 | Referral to community mental health team
8Hc2 | Referral to mental health crisis team
8Hg3. | Discharged from community mental health service
8HHo. | Referral to old age community mental health team
8HHR. | Referral to child and adolescent psychiatry clinic
8HHs. | Referral to psychosis early intervention service
8HIB. | Urgent referral to psychiatrist
8Hj2. | referral to psycho-education group
8HJ3. | Psychiatric self-referral
8HM9. | Listed for psychiatric admission
8HMC. | Listed for Psychogeriatri admiss
8Hnn. | Referral to non NHS mental health service
8HTc. | Referral to psychosexual clinic
8HVO. | Private referral to psychiatrist
8HVS. | Private referral to psychogeriatrician
9H1.. | Form 4 - admit to hosp assess
9H11. | Form 4 assess
9H12. | Form 4 passed to social worker
9H13. | Form 4 fee paid
9H14. | Form 4 fee unpaid
9H1Z. | Form 4 NOS
9H2.. | Form 5/7 emerg admit assess
9H21. | Form 7 - medical recommendation
9H22. | Form 5 - nearest relative recom
9H23. | Form 7 - fee to soc services 
9H24. | Form 7 - fee paid
9H25. | Form 7 - fee unpaid
9H2Z. | Form 5/7 NOS
9H4.. | Section 2 form - compulsary admission for assessment 
9H41. | Form 2 completed 
9H42. | Form 2 passed to social worker
9H43. | Form 2 passed to nearest relative
9H44. | Form 2 fee paid
9H45. | Form 2 fee unpaid
9H4Z. | Form 2 NOS
9H5.. | Section 3 form - compulsary admission for treatment
9H51. | Form 3 completed 
9H52. | Form 3 passed to social worker
9H53. | Form 3 passed to nearest relative
9H54. | Form 3 fee paid
9H55. | Form 3 fee unpaid
9H5Z. | Form 3 NOS
9HC5. | Substance misuse treatment programme completed 
9HC9. | Substance misuse programme del other healthcare provider
9HCC. | On substance misuse programme.
9HD.. | Offering of CAMHS choice appointment
9HE.. | Removal of sbj by trsft dirctn to hospital under S47 MHA 1983
9HF.. | Removal of sbj by trsft dirctn to hospital under S48 MHA 1983
9N0B. | Seen in psychogeriatric clinic
9N1T. | Seen in psychiatry clinic
9N2E2 | Seen by core psychiatry trainee doctor
9N4g. | DNA - Did not attend psychiatry clinic
9N4j. | DNA - Did not attend CPN review
9N4N. | DNA mental health appointment
9N4N0 | DNA child and adolescent mental health service appointment
9N4N1 | DNA CAMHS choice appointment
9N4N2 | DNA CAMHS partnership appointment 
9N4N3 | DNA CAMHS return appointment
9N6h. | Referral by mental health service
9NI6. | Psychiatric outreach clinic
9NIa. | Seen by psychiatrist
9NIa0 | Seen by child and adolescent psychaitrist 
9NIa1 | Seen by consultant psychiatrist 
9NIG. | Seen by forensic psychiatrist
9NJb. | In-house psychiatry first appointment 
9NJc. | In-house psychiatry discharge 
9NJd. | In-house psychiatry follow up appointment
9Nk6. | Seen in mental health clinic
9NN5. | Under care of psychiatrist
9NN7. | Under care of mental health team
9NN70 | Under care of mental health in-reach team
9NNQ. | Under care of hospital psychiatric team
9No0. | Seen in child and adolescent psychiatry clinic
9NS1. | Attended psycho-educational group
Read CTV3 Code | Description
69F2. | Section examination - approved doctor
8G43.  | Rehabilitation for disabling psychiatric problem
8H23. | Admit psychiatric emergency
8H230 | Emerg psychiatric admiss MHA
8H34. | Psychiatric day care
8H38. | Non-urgent psychiatric admisn.
8H3Q. | Non urgent psychogeriatric admission 
8H49. | Psychiatric referral
8H4D. | Referral to psychogeriatrician
8H4P. | Referral to child psychiatrist
8H7B. | Referral to CPN
8HHR. | Referral to child and adolescent psychiatry service
8HJ3. | Psychiatric self-referral
8HlB. | Urgent referral to psychiatrist
8HlD. | Referral to forensic psychiatrist
8HM9. | Listed for Psychiatric admissn
8HV0. | Private referral to psychiatrist
8HVO. | Private referral to psychiatrist
8HVS. | Private referral to psychogeriatrian
9H4.. | Section 2 form - compulsary admission for assessment
9H5.. | Section 3 form - compulsary admission for treatment
9N1T. | Seen in psychiatry clinic
9N2E2 | Seen by core psychiatry trainee doctor
9NI6. | Psychiatric outreach clinic
9NJb. | In-house psychiatry first appointment
9NJc. | In-house psychiatry discharge
9NJd. | In-house psychiatry follow-up appointment
9Nla. | Seen by psychiatrist
9Nla0 | Seen by child and adolescent psychiatrist
9Nla1 | Seen by consultant psychiatrist
9NlG. | Seen by forensic psychiatrist
9NN5. | Under care of psychiatrist
9No0. | Seen in child and adolescent psychiatry clinic
Xa9Ef | MHRT referral under MHA 1983
Xa9IX | Assessment for adm to hosp for assessm Section 2 MHA 1983
Xa9IY | Assessment for adm to hosp for treatment Section 3 MHA 1983
Xa9IZ | Assessment for emerg adm to hosp under Section 4 MHA 1983
Xa9Jb | Completion of form relating to MHA 1983
Xa9Jd | Completion of MHA 1983 form 2
Xa9Jf | Completion of MHA 1983 form 3
Xa9Jh | Completion of MHA 1983 form 4
Xa9Jj | Completion of MHA 1983 form 7
Xa9Jn | Completion of MHA 1983 form 10
Xa9Jp | Completion of MHA 1983 form 12
Xa9Jq | Completion of MHA 1983 form 38
Xa9Jr | Completion of MHA 1983 form 39
Xa9Js | Completion of MHA 1983 form 117
Xa9Jt | Completion of MHA 1983 form 62
Xa9lb | Assessment for detention in hospital under Sect 5 MHA 1983
Xa9lc | Assessment for detent in hosp using nurses holding power S5(4) MHA 1983
Xa9ld | Assessment for detent in hosp Section 5(2) MHA 1983
Xa9le | Assessment for admiss to hosp on remand for reprt S35 MHA 9183
Xa9lf | Assessment for adm to hsp for remd for treatm S36 MHA 1988
Xa9lg | Assessment for adm to hsp on hsp order S37 MHA 1983
Xa9lh | Assessment for adm to hsp on interm hsp ordr Sect 38 MHA 1983
Xa9li | Assessm for adm to hsp under comm by mag court Sect 44 MHA 1983
Xa9lj | Assessment for adm to hsp subj armd forc disc proc S46 Mha 1983
Xa9lk | Assessm for adm to hsp of pretrial prisoner Sect 48 MHA 1983
Xa9ll | Assessm for adm to hsp for sentanced prisnr Sect 47 MHA 1983
XaAaG | Referral by psychiatrist
XaAaH | Referral by child and adolescent psychiatrist
XaAaI | Referral by forensic psychiatrist
XaAaJ | Referral by liaision psychiatrist
XaAaK | Referral by psychogeriatrician
XaAaL | Referral by psychiatrist for mental handicap
XaAaM | Referral by rehabilitation psychiatrist
XaAcy | Referral to child and adolescent psychiatry sercice
XaAcz | Referral to forensic psychiatry service
XaAd0 | Referral to liasion psychiatry service
XaAd1 | Referral to mental handicap psychiatry service
XaAd2 | Referral to psychogeriatric service
XaAd3 | Referral to rehabilitation psychiatry service
XaAeL | Referral to psychiatry day hospital
XaAgA | Referral to child and adolescent psychiatrist
XaAgB | Referral to forensic psychiatrist
XaAgC | Referral to liaision psychiatrist
XaAgE | Referral to learning disabilities psychiatrist
XaAgF | Referral to rehabilitation psychiatrist
XaaHU | Seen by core psychiatry trainee doctor
XaAjL | Discharge by psychiatrist
XaAjM | Discharge by child and adolescent psychiatrist
XaAjN | Discharge by forensic psychiatrist
XaAjO | Discharge by liaision psychiatrist
XaAjP | Discharge by psychogeriatrician
XaAjQ | Discharge by psychiatrist for mental handicap
XaAjR | Discharge by rehabilitation psychiatrist
XaAM0 | Admission by psychiatrist
XaAM1 | Admission by child and adolescent psychiatrist
XaAM2 | Admission by forensic psychiatrist
XaAM3 | Admission by liaision psychiatrist
XaAM4 | Admission by psychogeriatrician
XaAM5 | Admission by psychiatrist for mental handicap
XaAM6 | Admission by rehabilitation psychiatrist
XaAmz | Discharge from psychiatry service
XaAn2 | Discharge from child and adolescent psychiatry service
XaAn5 | Discharge forensic psychiatry service
XaAn8 | Discharge from liasion psychiatry service
XaAnB | Discharge from mental health psychiatry service
XaAnE | Discharge from psychogeriatric service
XaAnH | Discharge from rehabiltation psychiatry service
XaANs | Admission to psychiatry department
XaANt | Admission to child and adolescent psychiatry department 
XaANu | Admission to forensic psychiatry department 
XaANv | Admission to psychogeriatric department 
XaANw | Admission to mental handicap psychiatry department 
XaANx | Admisssion to rehabilitation psychiatry department 
XaAPn | Under care of psychiatrist
XaAPo | Under care of child and adolescent psychiatrist
XaAPp | Under care of forensic psychiatrist
XaAPq | Under care of liaision psychiatrist
XaAPr | Under care of psychogeriatrician
XaAPs | Under care of psychiatrist for mental handicap
XaAPt | Under care of psychogeriatrician
XaAQo | Under care of CPN
XaATC | Seen by psychiatrist
XaATD | Seen by child and adolescent psychiatrist
XaATE | Seen by forensic psychiatrist
XaATF | Seen by liaison psychiatrist
XaATG | Seen by psychogeriatrician
XaATH | Seen by psychiatrist for mental handicap
XaATI | Seen by rehabilitation psychiatrist
XaAUA | Seen by community psychiatric nurse
XaAXL | Seen by psychiatry - service
XaAXM | Seen by child and adolescent psychiatry - service
XaAXN | Seen by forensic psychiatry - service
XaAXO | Seen by mental handicap psychiatry - service
XaAXP | Seen by psychogeriatric - service
XaAXQ | Seen by psychogeriatric - service
XaAXR | Seen by rehabilitation psychiatry - service
XaAZ1 | Seen in psychiatry day hospital
XaB1g | Mental health act forms 
XaBtN | Psychiatric therapy
XaBTX | Referral to psychiatrist
XaccJ | CAMHS choice appt cancelled by clinician
XaccK | CAMHS partnership appt cancelled by clinician
XaccL | CAMHS return appt cancelled by clinician
XacpV | Completion medcl rept adm to hsp snrncd prisn undr S47 MHA 1983
XaCPW | Completion of medical report for admission hospital prtiral prisner und S48 MHA 1983
XagSS | H/O hospital admission for psychiatric disorder
XaIOj | Secure and high-dependency mental health care
XaIOm | Early intervention in psychosis
XaIOo | General psychiatric care older adults 
XaITI | Mental health crisis resolution - daily intensive
XaIUx | Mental health crisis - 24 hour intensive
XaIUy | General psychiatric care adults working age 24 hour intensive
XaIUz | General psychiatric care adults working age 24 hour not intensive
XaIV0 | General psychiatric care adults working age full day
XaIVC | General psychiatric care older adults - 24 hour not intensive
XaIVD | General psychiatric care older adults - full day care
XaIWd | Mental health addiction programme 24 hour non intensive
XaIWe | Mental health addiction programme 24 hour intensive
XaJp0 | Did not attend psychiatry clinic 
XaJQU | Admission to psychiatry intensive care unit 
XaK5q | Admission to MH specialist services
XaK71 | Assmnt for amd to MH serv under MA Act 1983
XaL19 | Referral to psychosis early intervention service
XaLoA | In-house psychiatry first appintment 
XaLoB. | In-house psychiatry
XaLoC | In-house psychiatry discharge
XaLoD | In-house psychiatry follow-up appointmnet
XaLst | Rehabilitation for psychiatric disorders
XaLsu | Other specified rehabilitation for psychiatric diroder
XaLsv | Rehabilitation for psychiatric disorder NOS
XaMo7 | H/o detention under MHA 1983
XaNIN | Emergency informal psychiatric admission
XaNTc | Discharged from community mental health team
XaPDH | Urgent referral to psychiatrist
XaZsy | Seen by consultant psychiatrist
XE2Mu | Section 4 form - compulsary admissn for assm in emergency
XE2N0 | Form 5/7 emergency admission assessment
XE2N1 | Section 7 form - medical recommendation
XE2N2 | Section 5 form - nearest relative recommendation
XE2XN | Form 3 section 18 - non urgent hospital admission
XE2XT | Form A section 24/25 emergency admission
XSBbs | Psychiatric rehabilitation
ZV69. | [V] Psychiatric patient admission details
ZV690 | [V] Psychiatric patient - not previouly admitted
ZV691 | [V] Psychiatric patient - prev admitted this health care provider
ZV692 | [V] Psych patient - prev admitted other health care provider
ZV962 | [V] Psychiatric patient - previous admit other district

Psychotherapy
ReadV2Code | Description
8G... | Psychotherapy
8G1.. | General psychotherapy
8G10. | Psychotherapy - behavioural
8G100 | Behavioural activation therapy
8G101 | Dialectical behaviour therapy
8G102 | Behavioural parent training
8G11. | Psychotherapy - cognitive
8G12. | Psychotherapy - psychodynamic
8G120 | Short-term psychodynamic therapy
8G121 | Dynamic interpersonal therapy
8G122 | Focal psychodynamic therapy
8G14. | Cognitive analytic therapy
8G15. | Computerised cognitive behavioural therapy
8G16. | Interpersonal psychotherapy
8G18. | Cognitive stimulation therapy
9NlK. | Seen by psychotherapist
9NlK0 | Seen by trainee psychotherapist
8HHT. | Referral to psychotherapist
ZV57D | [V]Psychotherapy, not elsewhere classified
ZV673 | [V]Psychotherapy or other treatment for mental disorder follow-up
8G9Z. | Other psychotherapy NOS
8G9.. | Other psychotherapy
8GZ.. | Psycho./socio.- therapy NOS
ReadCTV3Code | Description
X71bp | Psychotherapy
XaaUO | Cognitive rehabilitation therapy
XaItc | Brief solution focused psychotherapy
Xa8IG | Psychoanalytic and psychodynamic therapy
Xa8IJ | Long-term exploratory psychotherapy
3841. | Psychoanalysis
XaA8V | Generic psychoanalysis
XaA8W | Independent psychoanalysis
XaA8T | Kleinian psychoanalysis
XaA8U | Bion-based group psychoanalysis
XaA8X | Classical psychoanalysis
XaA8Y | Lacanian psychoanalysis
XaA8g | Group psychoanalysis
384Z. | Psychological analysis NOS
Xa8IM | Jungian-based therapy
Xa8IN | Generic Jungian-based therapy
Xa8IP | Analytical psychology
Xa8IR | Long-term psychodynamic psychotherapy
XaA8Z | Developmental psychodynamic psychotherapy
XaA8c | Supportive expressive psychodynamic psychotherapy
XaA8d | Psychodynamic-interpersonal psychotherapy
XaEVq | Psychodynamic psychotherapy
Xad7C | Focal psychodynamic therapy
Xa8II | Short-term psychodynamic therapy
XaXuc | Dynamic interpersonal therapy
XaA9g | Specific task orientated psychotherapy
XE0iL | Psychotherapy/sociotherapy
8G9Z. | Other psychotherapy NOS
8G9.. | Other psychotherapy
8G1.. | General psychotherapy
8G10. | Psychotherapy - behavioural
8G11. | Psychotherapy - cognitive
8G12. | Psychotherapy - psychodynamic
XaAUN | Seen by psychotherapist
Xaa4f | Seen by trainee psychotherapist
SNOMEDCTID | Description
75516001 | Psychotherapy (regime/therapy)
183405004 | Anti-criminal psychotherapy (regime/therapy)
183401008 | Anti-suicide psychotherapy (regime/therapy)
700445002 | Attachment-based therapy (regime/therapy)
166001 | Behavioral therapy (regime/therapy)
3518004 | Aversive psychotherapy (regime/therapy)
228557008 | Cognitive and behavioral therapy (regime/therapy)
401157001 | Brief solution focused psychotherapy (regime/therapy)
429159005 | Child psychotherapy (regime/therapy)
427954006 | Child psychoanalytic psychotherapy (regime/therapy)
38678006 | Client-centered psychotherapy (regime/therapy)
41035007 | Conjoint psychotherapy (regime/therapy)
440274001 | Couple psychotherapy (regime/therapy)
723619005 | Behavioral couple psychotherapy (regime/therapy)
183398005 | Daily life psychotherapy (regime/therapy)
405793004 | Eclectic psychotherapy (regime/therapy)
15558000 | Expressive psychotherapy (regime/therapy)
736861004 | Systemic psychotherapy (regime/therapy)
302245002 | Family, systemic, couple and sex therapy (regime/therapy)
405792009 | Formal psychological therapy (regime/therapy)
183385001 | Functional psychotherapy (regime/therapy)
183381005 | General psychotherapy (regime/therapy)
183382003 | Psychotherapy - behavioral (regime/therapy)
183383008 | Psychotherapy - cognitive (regime/therapy)
76168009 | Group psychotherapy (regime/therapy)
1555005 | Brief group psychotherapy (regime/therapy)
108313002 | Family psychotherapy procedure (regime/therapy)
302247005 | Narrative family psychotherapy (regime/therapy)
361229007 | Structural family psychotherapy (regime/therapy)
27591006 | Group analytical psychotherapy (regime/therapy)
28868002 | Interactive group medical psychotherapy (regime/therapy)
1106951000000100 | Interpersonal psychotherapy for group (regime/therapy)
1066811000000100 | High intensity psychological intervention in combination with medication (regime/therapy)
302243009 | Humanistic and integrative therapy (regime/therapy)
313105004 | Action therapy (regime/therapy)
304825004 | Humanistic psychotherapy (regime/therapy)
304826003 | Integrative psychotherapy (regime/therapy)
390773006 | Cognitive analytic therapy (regime/therapy)
440582002 | Psychosynthesis (regime/therapy)
18512000 | Individual psychotherapy (regime/therapy)
8411005 | Interactive individual medical psychotherapy (regime/therapy)
443730003 | Interpersonal psychotherapy (regime/therapy)
1108261000000100 | Interpersonal and social rhythm therapy (regime/therapy)
700446001 | Parent-infant psychotherapy (regime/therapy)
302235004 | Psychoanalytic and psychodynamic therapy (regime/therapy)
440646003 | Educational psychotherapy (regime/therapy)
302236003 | Long-term exploratory psychotherapy (regime/therapy)
302238002 | Jungian-based therapy (regime/therapy)
302240007 | Analytical psychology (regime/therapy)
302239005 | Generic Jungian-based therapy (regime/therapy)
302242004 | Long-term psychodynamic psychotherapy (regime/therapy)
304820009 | Developmental psychodynamic psychotherapy (regime/therapy)
304822001 | Psychodynamic-interpersonal psychotherapy (regime/therapy)
304821008 | Supportive expressive psychodynamic psychotherapy (regime/therapy)
53508008 | Psychodrama (regime/therapy)
314034001 | Psychodynamic psychotherapy (regime/therapy)
718023002 | Focal psychodynamic therapy (regime/therapy)
1323681000000100 | Eating-disorder-focused focal psychodynamic therapy (regime/therapy)
429048003 | Short-term psychodynamic therapy (regime/therapy)
786721000000109 | Dynamic interpersonal therapy (regime/therapy)
1111671000000100 | Transference focused psychotherapy (regime/therapy)
397074006 | Psychologic desensitization therapy (regime/therapy)
302248000 | Psychotherapeutic approaches using specific settings (regime/therapy)
266744007 | Psychotherapy/sociotherapy (regime/therapy)
6227009 | Relationship psychotherapy (regime/therapy)
345181000000108 | Marital psychotherapy (regime/therapy)
63386006 | Sexual psychotherapy (regime/therapy)
15142007 | Sexual psychotherapy, female therapist - female patient (regime/therapy)
113144009 | Sexual psychotherapy, female therapist - male patient (regime/therapy)
26693005 | Sexual psychotherapy, group (regime/therapy)
33661004 | Sexual psychotherapy, group, all female (regime/therapy)
41653002 | Sexual psychotherapy, group, all male (regime/therapy)
31408009 | Sexual psychotherapy, group, male and female (regime/therapy)
305111000000109 | Relationship psychosexual therapy (regime/therapy)
66060003 | Sexual psychotherapy, male therapist - female patient (regime/therapy)
73139001 | Sexual psychotherapy, male therapist - male patient (regime/therapy)
90102008 | Social psychotherapy (regime/therapy)
304851002 | Specific task orientated psychotherapy (regime/therapy)
183391004 | Stimulative psychotherapy (regime/therapy)
361230002 | Structural psychotherapy (regime/therapy)
85925008 | Supportive verbal psychotherapy (regime/therapy)
84892007 | Suppressive psychotherapy (regime/therapy)
183411001 | Therapeutic psychology (regime/therapy)
394913002 | Psychotherapy (specialty) (qualifier value)
1323761000000100 | Medical psychotherapy (qualifier value)
773451003 | Psychotherapy care plan (record artifact)
305878005 | Seen by psychotherapy service (finding)
299695005 | Competitive games psychotherapy (regime/therapy)
81294000 | Patient referral for psychotherapy (procedure)
183374003 | Convalescence after psychotherapy (finding)
763151000000107 | Did not attend psychotherapy appointment (finding)
1079251000000100 | Emergency hospital admission to psychotherapy service (procedure)
305761008 | Seen by psychotherapist (finding)
865241000000103 | Seen by trainee psychotherapist (finding)
306055009 | Referral by psychotherapist (procedure)
824211000000108 | Liaison with psychotherapist (procedure)
306526008 | Discharge by psychotherapist (procedure)
305589008 | Under care of psychotherapist (finding)
305744005 | Seen by nurse psychotherapist (finding)
306038005 | Referral by nurse psychotherapist (procedure)
306503001 | Discharge by nurse psychotherapist (procedure)
305567009 | Under care of nurse psychotherapist (finding)

Cognitive Behaviour Therapy (CBT)
V2Codes | Description
8G13. | Cognitive-behaviour therapy
8G130 | Cognitive behavioural therapy parenting programme
8G131 | CBTp - cognitive behavioural therapy for psychosis
7L1a. | Cognitive behavioural therapy
7L1a0 | Cognitive behavioural therapy by unidisciplinary team
7L1a1 | Cognitive behavioural therapy by multidisciplinary team
7L1ay | Other specified cognitive behavioural therapy
7L1az | Cognitive behavioural therapy NOS
8G510 | Group cognitive behavioural therapy
8G15. | Computerised cognitive behavioural therapy
8HlK. | Referral for cognitive behavioural therapy
CTV3Codes | Description
Ub0qp | Cognitive and behavioural therapy
XaABO | Cognitive - behaviour therapy
Xad6J | Cognitive behavioural therapy for psychosis
Xaaa6 | Cognitive behavioural therapy parenting programme
XaQC0 | Guided self help cognitive behavioural therapy
XaKzQ | Computerised cognitive behavioural therapy
Xa8I9 | Generic cognitive behavioural therapy
XaM2I | Cognitive behavioural therapy by unidisciplinary team
XaM2J | Cognitive behavioural therapy by multidisciplinary team
XaM2K | Other specified cognitive behavioural therapy
XaM2L | Cognitive behavioural therapy NOS
XaR2j | Referral to cognitive behavioural therapist
XaR5D | Referral for cognitive behavioural therapy
XaYgB | Referral for high intensity cognitive behavioural therapy
XaZsD | Group cognitive behavioural therapy
SNOMEDCTCodes | Description
228557008 | Cognitive and behavioral therapy (regime/therapy)
425680009 | Cognitive behavioral therapy by multidisciplinary team (regime/therapy)
868185009 | Cognitive behavioral therapy for insomnia (regime/therapy)
718026005 | Cognitive behavioral therapy for psychosis (regime/therapy)
231621000000108 | Cognitive behavioural therapy by unidisciplinary team (regime/therapy)
1111811000000109 | Cognitive behavioural therapy for eating disorders (regime/therapy)
883841000000104 | Cognitive behavioural therapy parenting programme (regime/therapy)
228553007 | Cognitive therapy (regime/therapy)
302234000 | Becks cognitive therapy (regime/therapy)
702474001 | Cognitive rehabilitation therapy (regime/therapy)
304637004 | Cognitive restructuring (regime/therapy)
386241007 | Cognitive stimulation (regime/therapy)
1024851000000107 | Cognitive-linguistic therapy (regime/therapy)
975281000000106 | Rapid instructional pacing (regime/therapy)
